symbol,city,administrative,population,foundation,area_km2
Coat of arms of Dnipro.svg,Дніпро,Дніпропетровська область,1 065 008,1776,415.00
Gerb dnipropydne.png,Дніпрорудне,Запорізька область,21 054,1961,7.80
Dobromyl coat of arms (UHT).svg,Добромиль,Львівська область,4 976,1374 ,5.00
Dobropillya gerb.png,Добропілля,Донецька область,35 638,1840,11.90
Coat of Arms of Dovzhansk Luhansk Oblast.gif,Довжанськ,Луганська область,72 531,1938,83.84
Coat of arms of Dokuchaievsk.gif,Докучаєвськ,Донецька область,24 383,1912,11.90
Coat of Arms of Dolyna.svg,Долина,Івано-Франківська область,20 906,979,27.00
Wappen Dolynska.png,Долинська,Кіровоградська область,18 768,1873,12.13
Greater Coat of Arms of Donetsk (1995).svg,Донецьк,Донецька область,1 016 194,1869,358.00
Coat of Arms of Drohobych.svg,Дрогобич,Львівська область,79 119,1091,44.50
Druzhba gerb.png,Дружба,Сумська область,5 726,XVII ст.,8.50
Druzhkovka gerb.png,Дружківка,Донецька область,64 557,1781,36.00
Дубляни герб.png,Дубляни,Львівська область,8 469,1468,5.00
Coat of arms Dubno.svg,Дубно,Рівненська область,39 146,1100 ,27.00
Dombrv s.png,Дубровиця,Рівненська область,9 644,1005 ,8.90
Dunaivtsi modern COA.png,Дунаївці,Хмельницька область,16 448,1403 ,13.00
Coat of Arms Enerhodar.png,Енергодар,Запорізька область,56 242,1970,63.50
COA Yevpatoriia Crimea Ukraine.svg,Євпаторія,Автономна Республіка Крим,105 915,497,222.70
Coat of Arms of Yenakiieve.svg,Єнакієве,Донецька область,103 997,1898,42.50
Zhashkiv gerb new.png,Жашків,Черкаська область,15 853,1636,130.00
Zhdanivka gerb.png,Жданівка,Донецька область,13 688,1924,2.00
Velukuy gerb Zhydachiv.jpg,Жидачів,Львівська область,11 798,1164,13.00
Coat of Arms of Zhytomyr.svg,Житомир,Житомирська область,284 236,884,61.00
Coat of arms zhmerynka.PNG,Жмеринка,Вінницька область,37 349,XVIII ст.,18.26
Zhovkva01.png,Жовква,Львівська область,13 474,1597,7.60
Coat of Arms of Zhovti Vody.svg,Жовті Води,Дніпропетровська область,53 582,1895,33.25
Zavodske gerb.png,Заводське,Полтавська область,9 024,1928,13.00
Zalizne gerb.gif,Залізне,Донецька область,6 725,1894,7.00
POL Zaleszczyki COA.svg,Заліщики,Тернопільська область,10 125,1340,7.00
Герб Запорожья 2003 года.svg,Запоріжжя,Запорізька область,815 256,1770,331.00
Zastav s.png,Заставна,Чернівецька область,8 866,1589,9.00
Zbarag s.png,Збараж,Тернопільська область,13 228,1211,7.00
Zboriv gerb.png,Зборів,Тернопільська область,7 436,1241,3.00
Zvenyhorodka gerb.png,Звенигородка,Черкаська область,19 901,1394,20.80
Zdolbuniv COA.png,Здолбунів,Рівненська область,24 612,1497 ,12.50
Герб-Зеленодольськ.jpg,Зеленодольськ,Дніпропетровська область,14 792,1961,16.60
Zimogirrya gerb.png,Зимогір'я,Луганська область,11 295,1645,8.56
Zinkiv gerb.png,Зіньків,Полтавська область,10 577,1604,11.00
Герб Змиева (1803).png,Зміїв,Харківська область,17 063,1604,55.80
Coat of Arms of Znamyanka.png,Знам'янка,Кіровоградська область,29 412,1869,14.80
Zolote gerb.png,Золоте,Луганська область,17 836,1903,24.90
Coat of Arms of Zolotonosha.svg,Золотоноша,Черкаська область,28 793,1576,21.65
Zolochiv COA.PNG,Золочів,Львівська область,23 481,1424 ,11.65
Zorynsk gerb.jpg,Зоринськ,Луганська область,8 838,1930,9.00
COA of Zuhres.png,Зугрес,Донецька область,19 859,1929,14.50
Ivano-Frankivsk Coat of Arms.png,Івано-Франківськ,Івано-Франківська область,218 359,1662,83.70
Izmayil COA 2016.svg,Ізмаїл,Одеська область,84 815,1812,53.60
Coat of Arms of Izium.svg,Ізюм,Харківська область,56 114,1681,43.60
Coat of arms of Iziaslav.png,Ізяслав,Хмельницька область,18 444,1390 ,23.91
Illinci coat.gif,Іллінці,Вінницька область,11 186,1440,10.87
Ilovaysk.svg,Іловайськ,Донецька область,17 620,1869,10.80
COA Inkerman Sevastopol.svg,Інкерман,м. Севастополь міськрада,10 628,XIV ст.,2.00
Irmino1 gerb.gif,Ірміно,Луганська область,13 053,1808,19.00
Irpin gerb.png,Ірпінь,Київська область,40 593,1903,110.83
Irshava.png,Іршава,Закарпатська область,9 515,1341,15.80
Coat of Arms of Ichnyanskiy raion.svg,Ічня,Чернігівська область,12 780,XIV ст.,16.16
Kagarlyk gerb.png,Кагарлик,Київська область,13 757,1142 ,21.00
Stahanov coa.png,Кадіївка,Луганська область,90 152,XIX ст.,91.80
Герб міста Калинівки.png,Калинівка,Вінницька область,20 061,XVIII ст.,9.80
Coat of Arms of Kalush.svg,Калуш,Івано-Франківська область,67 902,1437,64.53
Gerb koms.jpg,Кальміуське,Донецька область,12 813,1933,11.90
Герб-Камінь-Каширський.jpg,Камінь-Каширський,Волинська область,10 818,XIII ст.,7.64
COA Kamjantec-Podilsky.svg,Кам'янець-Подільський,Хмельницька область,99 610,XII ст.,27.90
Kam'yanka gerb.png,Кам'янка,Черкаська область,15 109,XVII ст.,15.23
Coat of Arms of Kamianka-Buzka.svg,Кам'янка-Бузька,Львівська область,11 674,1411 ,8.63
Kamyanka Dniprovska gerb.png,Кам'янка-Дніпровська,Запорізька область,15 522,1786,21.00
Coat of Arms of Kamianske.png,Кам'янське,Дніпропетровська область,255 841,1750,138.00
KanivCOA.png,Канів,Черкаська область,26 657,1078 ,17.42
Karlivka.png,Карлівка,Полтавська область,17 995,1711,16.00
COA of Kakhovka.png,Каховка,Херсонська область,38 238,1791,8.30
Kerch coat.svg,Керч,Автономна Республіка Крим,157 007,530 до н. е.,108.00
COA of Kyiv Kurovskyi.svg,Київ,м. Київ міськрада,2 611 327,482,847.66
Coat of Arms of Artemivsk (Luhansk Oblast).png,Кипуче,Луганська область,9 097,1910,19.20
Kiverci gerb.png,Ківерці,Волинська область,16 678,1870,8.48
Kilia.png,Кілія,Одеська область,22 594,862,19.50
Kitsman herb.png,Кіцмань,Чернівецька область,7 608,XV ст.,8.60
Kobelj s.png,Кобеляки,Полтавська область,12 076,1620,15.00
Coat of Arms of Kovel.svg,Ковель,Волинська область,66 401,1310,47.30
Kodima gerb.png,Кодима,Одеська область,9 634,1754,10.53
Kozjatin gerb.png,Козятин,Вінницька область,26 635,1734,20.10
Kolomyia.gerb.gif,Коломия,Івано-Франківська область,61 989,1241,41.10
Комарно герб.png,Комарно,Львівська область,3 994,1471 ,7.30
Герб міста Конотоп.svg,Конотоп,Сумська область,92 657,XVII ст.,43.78
Kopychyn1.gif,Копичинці,Тернопільська область,7 036,1443,8.12
COA Kopets.png,Корець,Рівненська область,8 649,1150,6.00
Korosten misto gerb.png,Коростень,Житомирська область,66 669,705,42.31
Korostyshiv coat of arms.svg,Коростишів,Житомирська область,26 068,1495 ,9.74
