city,administrative,population_2014,population_2001
Волочиськ,Хмельницька,19 574,20 958
Підгородне,Дніпропетровська,19 530,17 763
Долинська,Кіровоградська,19 457,18 768
Дніпрорудне,Запорізька,19 361,21 054
Рені,Одеська,19 315,20 481
Калинівка,Вінницька,19 226,20 061
Балта,Одеська,19 082,19 962
Вовчанськ,Харківська,19 029,20 695
П'ятихатки,Дніпропетровська,18 886,20 563
Скадовськ,Херсонська,18 824,19 641
Амвросіївка,Донецька,18 682,22 130
Корсунь-Шевченківський,Черкаська,18 656,19 311
Бахмач,Чернігівська,18 604,20 332
Зугрес,Донецька,18 474,19 859
Бережани,Тернопільська,18 264,17 617
Білогірськ,Автономна Республіка Крим,18 252,18 790
Дергачі,Харківська,18 210,20 258
Сватове,Луганська,18 093,19 495
Старобільськ,Луганська,17 980,22 371
Роздільна,Одеська,17 930,17 754
Лутугине,Луганська,17 905,18 833
Звенигородка,Черкаська,17 771,19 901
Новоукраїнка,Кіровоградська,17 554,19 353
Шпола,Черкаська,17 549,19 427
Ватутіне,Черкаська,17 278,20 156
Ізяслав,Хмельницька,17 212,18 444
Свалява,Закарпатська,17 066,17 145
Богуслав,Київська,16 786,17 135
Верхньодніпровськ,Дніпропетровська,16 760,16 976
Городок,Хмельницька,16 741,17 746
Білопілля,Сумська,16 659,18 384
Сквира,Київська,16 616,18 126
Березань,Київська,16 570,17 367
Винники,Львівська,16 517,13 654
Овруч,Житомирська,16 515,17 031
Бар,Вінницька,16 380,17 284
Дунаївці,Хмельницька,16 232,16 448
Путивль,Сумська,16 175,17 354
Городок,Львівська,16 046,16 082
Пирятин,Полтавська,15 933,16 664
Білозерське,Донецька,15 916,17 868
Красногорівка,Донецька,15 912,16 714
Тульчин,Вінницька,15 845,16 136
Іловайськ,Донецька,15 808,17 620
Вільнянськ,Запорізька,15 787,16 522
Українка,Київська,15 775,14 163
Острог,Рівненська,15 745,14 801
Богодухів,Харківська,15 720,18 224
Новий Буг,Миколаївська,15 603,16 250
Болград,Одеська,15 584,17 353
Вознесенівка,Луганська,15 582,17 680
Миколаївка,Донецька,15 559,16 620
Судак,Автономна Республіка Крим,15 532,14 495
Бурштин,Івано-Франківська,15 370,15 298
Вугледар,Донецька,15 294,17 440
Рахів,Закарпатська,15 283,15 241
Новогродівка,Донецька,15 247,17 473
Оріхів,Запорізька,15 161,17 955
Зміїв,Харківська,15 160,17 063
Гайворон,Кіровоградська,15 087,16 126
Карлівка,Полтавська,15 071,17 995
Арциз,Одеська,15 021,16 370
Миколаїв,Львівська,14 934,14 801
Радомишль,Житомирська,14 930,15 326
Гола Пристань,Херсонська,14 785,16 028
Очаків,Миколаївська,14 566,16 929
Ківерці,Волинська,14 480,16 678
Сторожинець,Чернівецька,14 407,14 693
Золоте,Луганська,14 376,17 836
Апостолове,Дніпропетровська,14 348,16 439
Городище,Черкаська,14 249,15 645
Гуляйполе,Запорізька,14 180,17 077
Тальне,Черкаська,14 160,16 388
Жашків,Черкаська,14 146,15 853
Збараж,Тернопільська,14 054,13 228
Носівка,Чернігівська,14 007,15 966
Бунге,Донецька,13 945,17 813
Василівка,Запорізька,13 875,15 592
Зеленодольськ,Дніпропетровська,13 907,14 792
Часів Яр,Донецька,13 817,16 612
Новгород-Сіверський,Чернігівська,13 753,15 175
Кагарлик,Київська,13 730,13 757
Теребовля,Тернопільська,13 709,13 661
Жовква,Львівська,13 629,13 474
Хорол,Полтавська,13 532,14 753
Березне,Рівненська,13 435,13 669
Кам'янка-Дніпровська,Запорізька,13 383,15 522
Рожище,Волинська,13 306,13 636
Тетіїв,Київська,13 270,14 944
Петрово-Красносілля,Луганська,13 117,15 478
Корюківка,Чернігівська,13 114,14 318
Бершадь,Вінницька,13 098,13 336
Берислав,Херсонська,13 044,15 455
Яворів,Львівська,13 009,13 510
Снігурівка,Миколаївська,12 992,15 447
Баштанка,Миколаївська,12 658,13 146
Бучач,Тернопільська,12 631,12 549
Щастя,Луганська,12 629,13 770
Гнівань,Вінницька,12 577,12 832
Городня,Чернігівська,12 431,14 043
Кам'янка,Черкаська,12 427,15 109
Жданівка,Донецька,12 301,13 688
Нова Одеса,Миколаївська,12 253,14 070
Приморськ,Запорізька,12 194,12 973
Камінь-Каширський,Волинська,12 190,10 818
Мена,Чернігівська,12 181,12 940
Узин,Київська,12 150,13 217
Світлодарськ,Донецька,12 127,13 184
Сіверськ,Донецька,12 036,14 393
Інкерман,м.Севастополь,12 028,10 628
Біляївка,Одеська,11 993,14 294
Баранівка,Житомирська,11 948,12 584
Українськ,Донецька,11 928,13 236
Немирів,Вінницька,11 861,12 082
Миронівка,Київська,11 851,13 368
Лохвиця,Полтавська,11 801,12 389
Новоазовськ,Донецька,11 740,12 702
Боково-Хрустальне,Луганська,11 731,14 773
Кальміуське,Донецька,11 672,12 813
Соледар,Донецька,11 560,13 151
Гірник,Донецька,11 510,14 207
Новомиргород,Кіровоградська,11 495,13 220
Сновськ,Чернігівська,11 455,12 315
Ічня,Чернігівська,11 454,12 780
Соснівка,Львівська,11 437,11 889
Іллінці,Вінницька,11 360,11 186
Ямпіль,Вінницька,11 329,11 787
Бобровиця,Чернігівська,11 279,11 916
Тараща,Київська,11 275,13 452
Борщів,Тернопільська,11 202,11 382
Щолкіне,Автономна Республіка Крим,11 169,11 699
Жидачів,Львівська,11 149,11 798
Мала Виска,Кіровоградська,11 014,13 132
Бобринець,Кіровоградська,11 005,12 300
Татарбунари,Одеська,10 974,10 797
Таврійськ,Херсонська,10 941,11 452
Гребінка,Полтавська,10 938,11 662
Христинівка,Черкаська,10 853,11 650
Моспине,Донецька,10 745,11 736
Кам'янка-Бузька,Львівська,10 837,11 674
Болехів,Івано-Франківська,10 770,10 633
Новодністровськ,Чернівецька,10 729,10 342
Родинське,Донецька,10 641,11 996
Радивилів,Рівненська,10 558,10 311
Борзна,Чернігівська,10 396,11 707
Деражня,Хмельницька,10 302,10 446
Любомль,Волинська,10 274,10 395
Теплодар,Одеська,10 227,8830
Олевськ,Житомирська,10 222,10 896
Перещепине,Дніпропетровська,10 138,10 041
Дубляни,Львівська,10 132,8469
Снятин,Івано-Франківська,10 102,10 479
Кобеляки,Полтавська,10 041,12 076
Гірське,Луганська,10 041,11 473
Верхівцеве,Дніпропетровська,10 062,10 142
Глобине,Полтавська,9921,12 902
Зіньків,Полтавська,9899,10 577
Ірміно,Луганська,9886,13 053
Зимогір'я,Луганська,9881,11 295
Мар'їнка,Донецька,9829,10 722
Погребище,Вінницька,9814,10 754
Ходорів,Львівська,9813,10 565
Березівка,Одеська,9778,9481
Радехів,Львівська,9612,9230
Хотин,Чернівецька,9591,11 216
Старий Крим,Автономна Республіка Крим,9478,10 101
Барвінкове,Харківська,9465,12 998
Дубровиця,Рівненська,9459,9644
Тисмениця,Івано-Франківська,9443,9790
Решетилівка,Полтавська,9412,9457
Сокиряни,Чернівецька,9388,10 258
Городенка,Івано-Франківська,9384,9794
Заліщики,Тернопільська,9379,10 125
Валки,Харківська,9355,10 381
Мостиська,Львівська,9258,9150
Чигирин,Черкаська,9258,11 960
Іршава,Закарпатська,9220,9515
Пустомити,Львівська,9211,9798
Помічна,Кіровоградська,9201,10 946
Горохів,Волинська,9172,9015
Тячів,Закарпатська,9127,9786
Буринь,Сумська,9031,11 678
Чоп,Закарпатська,9018,8919
Монастирище,Черкаська,8970,9463
Андрушівка,Житомирська,8951,9890
Тлумач,Івано-Франківська,8885,8831
Кодима,Одеська,8860,9634
Ланівці,Тернопільська,8746,8680
Липовець,Вінницька,8691,9406
Білицьке,Донецька,8627,10 093
Косів,Івано-Франківська,8621,8301
Ананьїв,Одеська,8563,9476
Заводське,Полтавська,8560,9024
Алупка,Автономна Республіка Крим,8528,9018
Рава-Руська,Львівська,8487,8070
Семенівка,Чернігівська,8486,9656
Буськ,Львівська,8484,8673
Вилкове,Одеська,8422,9260
Яремче,Івано-Франківська,8201,7850
Рогатин,Івано-Франківська,8000,8607
Заставна,Чернівецька,7985,8866
Південне,Харківська,7856,8516
Почаїв,Тернопільська,7834,8240
Новоселиця,Чернівецька,7714,8400
Вуглегірськ,Донецька,7671,10 309
Новодружеськ,Луганська,7660,9025
Привілля,Луганська,7643,9004
Ржищів,Київська,7545,8447
Кипуче,Луганська,7465,9097
Ворожба,Сумська,7363,8384
Корець,Рівненська,7304,8649
Зоринськ,Луганська,7291,8838
Турка,Львівська,7207,7681
Середина-Буда,Сумська,7169,7511
Хоростків,Тернопільська,7034,7306
Шаргород,Вінницька,6981,7161
Молочанськ,Запорізька,6891,7964
Перемишляни,Львівська,6885,7565
Копичинці,Тернопільська,6869,7036
Зборів,Тернопільська,6816,7436
Перечин,Закарпатська,6720,7083
Кіцмань,Чернівецька,6603,7608
Старий Самбір,Львівська,6596,5706
Олександрівськ,Луганська,6596,7045
Судова Вишня,Львівська,6504,6668
Сколе,Львівська,6324,6742
Остер,Чернігівська,6295,7194
Галич,Івано-Франківська,6264,6495
Великі Мости,Львівська,6132,5925
Благовіщенське,Кіровоградська,6092,7526
Монастириська,Тернопільська,6065,6344
Моршин,Львівська,6013,6482
Чуднів,Житомирська,5814,6558
Залізне,Донецька,5567,6725
Шумськ,Тернопільська,5460,5161
Рудки,Львівська,5447,4942
Вашківці,Чернівецька,5405,5987
Дружба,Сумська,4997,5726
Міусинськ,Луганська,4732,6029
Святогірськ,Донецька,4630,5136
Добромиль,Львівська,4406,4976
Алмазна,Луганська,4299,5061
Вижниця,Чернівецька,4157,5021
Новий Калинів,Львівська,4123,3582
Хирів,Львівська,4056,4590
Скалат,Тернопільська,4020,4036
Комарно,Львівська,3841,3994
Бібрка,Львівська,3816,3980
Глиняни,Львівська,3165,3378
Підгайці,Тернопільська,2830,3280
Батурин,Чернігівська,2652,3078
Менше 2500
Белз,Львівська,2352,2478
Устилуг,Волинська,2218,2283
Герца,Чернівецька,2113,2068
Берестечко,Волинська,1757,1904
Угнів,Львівська,1002,1021
Чорнобиль,Київська,0,0
Прип'ять,Київська,0,0
