city,lat,lng,country,iso2,admin,capital,population,population_proper
Tarashcha,49.558316,30.492592,Ukraine,UA,Kyyivs’ka Oblast’,minor,,
Zarichne,51.812603,26.129022,Ukraine,UA,Rivnens’ka Oblast’,minor,,
Zolochiv,49.805974,24.894357,Ukraine,UA,L’vivs’ka Oblast’,minor,,
Zolochiv,50.279848,35.981785,Ukraine,UA,Kharkivs’ka Oblast’,minor,,
Kalush,49.011872,24.373077,Ukraine,UA,Ivano-Frankivs’ka Oblast’,minor,,
Kalynivka,49.453887,28.526081,Ukraine,UA,Vinnyts’ka Oblast’,minor,,
Skole,49.037169,23.513457,Ukraine,UA,L’vivs’ka Oblast’,minor,,
Kotovs’k,47.75305,29.532053,Ukraine,UA,Odes’ka Oblast’,minor,,
Tel’manove,47.409942,38.024763,Ukraine,UA,Donets’ka Oblast’,minor,,
Berezhany,49.442315,24.932315,Ukraine,UA,Ternopil’s’ka Oblast’,minor,,
Hayvoron,48.339579,29.867911,Ukraine,UA,Kirovohrads’ka Oblast’,minor,,
Zastavna,48.523071,25.843686,Ukraine,UA,Chernivets’ka Oblast’,minor,,
Shchors,51.818646,31.94504,Ukraine,UA,Chernihivs’ka Oblast’,minor,,
Slavuta,50.301552,26.865061,Ukraine,UA,Khmel’nyts’ka Oblast’,minor,,
Bilhorod-Dnistrovs’kyy,46.1952,30.349382,Ukraine,UA,Odes’ka Oblast’,minor,,
Derazhnya,49.269198,27.433817,Ukraine,UA,Khmel’nyts’ka Oblast’,minor,,
Romny,50.751038,33.474713,Ukraine,UA,Sums’ka Oblast’,minor,,
Husyatyn,49.072627,26.2141,Ukraine,UA,Ternopil’s’ka Oblast’,minor,,
Novomyrhorod,48.781047,31.642042,Ukraine,UA,Kirovohrads’ka Oblast’,minor,,
Mohyliv-Podil’s’kyy,48.445983,27.798197,Ukraine,UA,Vinnyts’ka Oblast’,minor,,
Shpola,49.006872,31.394708,Ukraine,UA,Cherkas’ka Oblast’,minor,,
Verkhovyna,48.15571,24.791124,Ukraine,UA,Ivano-Frankivs’ka Oblast’,minor,,
